Filename;Laplacian Variance
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100120.png;315
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100529.png;315
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121924.png;315
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170059.png;314
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140022.png;314
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130443.png;314
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100412.png;314
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130413.png;313
E_0.83m_4.02s_NNW_12.2kmh_hm_20241113_150301.png;313
E_1.06m_5.48s_NE_15.0kmh_hm_20241112_150208.png;313
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100523.png;313
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090618.png;312
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140321.png;312
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121618.png;312
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_122045.png;312
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170150.png;311
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140050.png;311
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130052.png;311
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130145.png;311
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160531.png;311
E_1.18m_4.47s_N_11.1kmh_ml_20241114_090625.png;310
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130333.png;310
E_1.19m_4.52s_N_11.4kmh_lm_20241114_100135.png;309
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150243.png;309
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121626.png;309
ESE_0.85m_5.24s_W_7.3kmh_lm_20241115_110154.png;308
E_0.74m_4.48s_NNW_5.8kmh_lm_20241113_100157.png;308
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140030.png;308
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130502.png;308
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130109.png;308
SE_2.91m_6.48s_WNW_20.9kmh_ml_20241120_110042.png;308
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140308.png;307
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130131.png;307
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130340.png;307
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150200.png;307
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100212.png;306
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160240.png;306
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130211.png;306
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130348.png;306
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150225.png;306
E_1.19m_4.86s_NNW_14.1kmh_hm_20241114_160421.png;306
E_0.83m_4.0s_NNW_10.8kmh_hm_20241113_160159.png;305
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160350.png;305
E_1.19m_4.81s_NNW_14.9kmh_hm_20241114_150415.png;305
E_0.81m_4.18s_NNW_11.0kmh_hm_20241113_130158.png;304
E_1.18m_5.47s_NE_15.1kmh_hm_20241112_130603.png;304
SE_2.71m_6.44s_WNW_15.1kmh_hm_20241120_090456.png;304
SE_2.96m_6.43s_W_25.1kmh_lm_20241120_150153.png;304
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100444.png;303
E_0.74m_4.48s_NNW_5.8kmh_lm_20241113_100455.png;303
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140110.png;303
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140237.png;303
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140042.png;303
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140049.png;303
E_0.79m_4.28s_N_10.3kmh_mh_20241113_120257.png;302
E_0.98m_5.37s_NE_12.7kmh_ml_20241112_170158.png;302
E_1.02m_5.44s_NE_13.9kmh_ml_20241112_160358.png;302
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140408.png;302
E_1.12m_5.48s_NE_15.0kmh_hm_20241112_140459.png;302
E_1.18m_4.75s_NNW_13.9kmh_hm_20241114_140101.png;302
E_1.24m_5.53s_ENE_15.1kmh_hm_20241112_121845.png;302
E_1.58m_5.63s_NE_17.1kmh_lm_20241112_090222.png;302
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130404.png;302
SE_2.84m_6.37s_WNW_24.2kmh_ml_20241120_130433.png;302
ESE_0.88m_5.25s_W_6.5kmh_lm_20241115_100014.png;301
E_0.65m_4.73s_NW_3.5kmh_lm_20241113_090256.png;301
